pressure_exponent,feature,increasing,rms_abs,mad_abs,n0,n1,n2,n3,y0_iso,y1_iso,y2_iso,y3_iso
4,x_ts,0,0.007990480086383272,0.005650122654017653,-24.0,-23.0,-22.0,-21.0,0.7190711392336273,0.7190711392336273,0.6572627696068645,0.40171048285146116
4,y_pre,0,0.0,0.0,-24.0,-23.0,-22.0,-21.0,0.15133569235518113,0.014500687085377089,0.0018201763607689548,0.0005077075752452026
4,x_4outer,0,0.004527084817695962,0.0032011323735994246,-24.0,-23.0,-22.0,-21.0,1.1055153899058743,1.1055153899058743,1.065658067174905,0.8401626999031505
4,x_inflect,0,0.0051199404777421435,0.0036203446310829612,-24.0,-23.0,-22.0,-21.0,2.179591070222519,2.179591070222519,2.046257230343785,1.4133521393998754
4,x_final_rise,0,0.0,0.0,-24.0,-23.0,-22.0,-21.0,7.1193575159144,7.070024229049674,6.152963782554367,3.882146447373879
4,y_flat_min,0,0.0,0.0,-24.0,-23.0,-22.0,-21.0,0.0010550148901821031,0.00010433384584117694,1.4569924844656791e-05,4.889533224254827e-06
4,x_peak_wall,0,0.0,0.0,-24.0,-23.0,-22.0,-21.0,21.215901694393537,15.21898663131577,9.68658538462175,5.372862882544241
4,y_peak_wall,1,0.0,0.0,-24.0,-23.0,-22.0,-21.0,1.0005561664796623,1.0217053498549338,1.2562171940070033,2.2638903428778514
4,width_peak_wall_dex,1,0.04752692227923553,0.033606609032573447,-24.0,-23.0,-22.0,-21.0,0.0,0.0,0.14923134053008194,0.14923134053008194
5,x_ts,0,0.0,0.0,-23.0,-22.0,-21.0,-20.0,0.5106569077624942,0.5083009758689759,0.48325893506773904,0.3435134896531812
5,y_pre,0,0.0,0.0,-23.0,-22.0,-21.0,-20.0,0.0002959816516410936,2.8764035275545523e-05,3.2016682506652745e-06,6.358002421555606e-07
5,x_inflect,1,0.0,0.0,-23.0,-22.0,-21.0,-20.0,1.4365738875164145,1.4365738875164145,1.4365738875164145,1.4365738875164145
5,x_final_rise,0,0.0,0.0,-23.0,-22.0,-21.0,-20.0,9.169764123818915,9.014035848331826,8.49359124887092,6.268650224399094
5,y_flat_min,0,0.0,0.0,-23.0,-22.0,-21.0,-20.0,0.0009110328875407983,9.132920033655645e-05,1.035266038605667e-05,2.1609246747047757e-06
5,x_peak_wall,0,4.034980832759931,3.142615232041287,-23.0,-22.0,-21.0,-20.0,19.188691926246005,19.188691926246005,19.188691926246005,8.81800351758362
5,y_peak_wall,1,0.0,0.0,-23.0,-22.0,-21.0,-20.0,1.0015139816692589,1.007179233591758,1.0801582326813683,1.61272124387582
5,width_peak_wall_dex,1,0.0837043668308565,0.05918792540102494,-23.0,-22.0,-21.0,-20.0,0.0,0.0,0.2545887631068594,0.2545887631068594
6,x_ts,1,0.002346098830440764,0.0019075789498759765,-22.0,-21.0,-20.0,-19.0,0.5086977445160152,0.5086977445160152,0.5086977445160152,0.7723659532594042
6,y_pre,0,5.640307863505785e-05,4.5399436423309184e-05,-22.0,-21.0,-20.0,-19.0,0.00029591972143780187,6.181187806942244e-05,6.181187806942244e-05,6.181187806942244e-05
6,x_inflect,1,0.0,0.0,-22.0,-21.0,-20.0,-19.0,1.4019978007851388,1.4019978007851388,1.4019978007851388,1.8855734883705184
6,x_final_rise,0,0.11423095166947178,0.08077348054687583,-22.0,-21.0,-20.0,-19.0,12.869042960555474,12.658810539929375,12.522786752065045,12.522786752065045
6,y_flat_min,0,0.0,0.0,-22.0,-21.0,-20.0,-19.0,0.0009967280340478024,0.0001006885111240589,1.02376010941331e-05,1.6951032038032623e-06
6,x_peak_wall,1,5.765855373351882,4.6288668570601335,-22.0,-21.0,-20.0,-19.0,25.738352176951285,25.738352176951285,25.738352176951285,35.24387502798692
6,y_peak_wall,1,0.0,0.0,-22.0,-21.0,-20.0,-19.0,1.000642795239969,1.0024857510194083,1.015589737872733,1.1261923160711396
6,width_peak_wall_dex,0,0.06560543594192264,0.05355221250905501,-22.0,-21.0,-20.0,-19.0,0.30936078789359445,0.22310051892783855,0.22310051892783855,0.22310051892783855
