run_id,rms_log10,mad_log10
p4_n24,0.0014694632793734548,1.4206315188003416e-05
p4_n23,0.001924132523059445,1.9595698963925656e-05
p4_n22,0.001670339163772641,2.2484048562532166e-05
p4_n21,0.002082636747212157,2.746219598748212e-05
p5_n23,0.0027966131724665353,2.9802370535847444e-06
p5_n22,0.002264114109381253,3.03111498078934e-06
p5_n21,0.002484131013405265,2.780612725915982e-06
p5_n20,0.0030683737701950914,4.328214735949132e-06
p6_n22,0.003255173284198989,3.9685234569653005e-06
p6_n21,0.0029242267807850567,3.492281019035204e-06
p6_n20,0.002869741019712297,2.673592101487543e-06
p6_n19,0.0021542365783756828,1.6979195264887892e-05
