run_id,pressure_exponent,density_exponent,pressure_k_cm3,rho_g_cm3,nism_cm3,tism_k,rt_external_pc,rb_weaver_pc,rb_pressure_equilibrium_pc,rb_effective_pc,rwind_pc,xprobmin1_pc,xprobmax1_pc,outer_pad,rb_box_fraction,dx_target_pc,dx_actual_pc,domain_nx1,first_cell_center_pc,first_cell_center_over_rt,cells_inside_rwind,cells_inside_rt,pressure_confined
p4_n21,4,21,10000.0,1e-21,459.8951851197525,21.744085007970003,0.9838477348677321,5.956662014804722,8.090462974332782,5.956662014804722,0.09838477348677321,0.019676954697354643,23.826648059218886,4.0,0.25,0.009838477348677321,0.00982135771638677,2424,0.02458763355554803,0.02499129965355216,8.013944819268307,98.17082403603676,False
p4_n22,4,22,10000.0,1e-22,45.989518511975255,217.44085007970003,0.9838477348677321,9.440673077055704,8.090462974332782,8.090462974332782,0.09838477348677321,0.019676954697354643,32.36185189733113,4.0,0.25,0.009838477348677321,0.00983642790226088,3288,0.024595168648485082,0.02499895845345585,8.001666821685111,98.02041856564261,True
p4_n23,4,23,10000.0,1e-23,4.598951851197525,2174.408500797,0.9838477348677321,14.962458492076498,8.090462974332782,8.090462974332782,0.09838477348677321,0.019676954697354643,32.36185189733113,4.0,0.25,0.009838477348677321,0.00983642790226088,3288,0.024595168648485082,0.02499895845345585,8.001666821685111,98.02041856564261,True
p4_n24,4,24,10000.0,1e-24,0.4598951851197525,21744.085007970003,0.9838477348677321,23.71389860657402,8.090462974332782,8.090462974332782,0.09838477348677321,0.019676954697354643,32.36185189733113,4.0,0.25,0.009838477348677321,0.00983642790226088,3288,0.024595168648485082,0.02499895845345585,8.001666821685111,98.02041856564261,True
p5_n20,5,20,100000.0,1e-20,4598.951851197526,21.74408500797,0.3111199712979492,3.758399646827224,3.755260260042067,3.755260260042067,0.031111997129794924,0.006222399425958984,15.021041040168267,4.0,0.25,0.0031111997129794925,0.003107371407438392,4832,0.00777608512967818,0.02499384754131159,8.009856061703951,98.12073675587338,True
p5_n21,5,21,100000.0,1e-21,459.8951851197525,217.44085007970003,0.3111199712979492,5.956662014804722,3.755260260042067,3.755260260042067,0.031111997129794924,0.006222399425958984,15.021041040168267,4.0,0.25,0.0031111997129794925,0.003107371407438392,4832,0.00777608512967818,0.02499384754131159,8.009856061703951,98.12073675587338,True
p5_n22,5,22,100000.0,1e-22,45.989518511975255,2174.408500797,0.3111199712979492,9.440673077055704,3.755260260042067,3.755260260042067,0.031111997129794924,0.006222399425958984,15.021041040168267,4.0,0.25,0.0031111997129794925,0.003107371407438392,4832,0.00777608512967818,0.02499384754131159,8.009856061703951,98.12073675587338,True
p5_n23,5,23,100000.0,1e-23,4.598951851197525,21744.085007970003,0.3111199712979492,14.962458492076498,3.755260260042067,3.755260260042067,0.031111997129794924,0.006222399425958984,15.021041040168267,4.0,0.25,0.0031111997129794925,0.003107371407438392,4832,0.00777608512967818,0.02499384754131159,8.009856061703951,98.12073675587338,True
p6_n19,6,19,1000000.0,1e-19,45989.51851197526,21.74408500797,0.09838477348677323,2.3713898606574015,1.7430374090321081,1.7430374090321081,0.009838477348677323,0.0019676954697354647,6.9721496361284325,4.0,0.25,0.0009838477348677324,0.000983377813298349,7088,0.002459384376384639,0.024997611817597735,8.003822917808627,98.04683074315568,True
p6_n20,6,20,1000000.0,1e-20,4598.951851197526,217.4408500797,0.09838477348677323,3.758399646827224,1.7430374090321081,1.7430374090321081,0.009838477348677323,0.0019676954697354647,6.9721496361284325,4.0,0.25,0.0009838477348677324,0.000983377813298349,7088,0.002459384376384639,0.024997611817597735,8.003822917808627,98.04683074315568,True
p6_n21,6,21,1000000.0,1e-21,459.8951851197525,2174.408500797,0.09838477348677323,5.956662014804722,1.7430374090321081,1.7430374090321081,0.009838477348677323,0.0019676954697354647,6.9721496361284325,4.0,0.25,0.0009838477348677324,0.000983377813298349,7088,0.002459384376384639,0.024997611817597735,8.003822917808627,98.04683074315568,True
p6_n22,6,22,1000000.0,1e-22,45.989518511975255,21744.085007970003,0.09838477348677323,9.440673077055704,1.7430374090321081,1.7430374090321081,0.009838477348677323,0.0019676954697354647,6.9721496361284325,4.0,0.25,0.0009838477348677324,0.000983377813298349,7088,0.002459384376384639,0.024997611817597735,8.003822917808627,98.04683074315568,True
