run_id,rms_log10,mad_log10
p4_n24,0.8209894362501124,0.9762322726054162
p4_n23,0.23247475066394313,0.09254479100606039
p4_n22,0.32549299569753254,0.08162895175549911
p4_n21,2.003960885690775,0.8398254168586323
p5_n23,0.7861789402948179,0.9729088260061509
p5_n22,0.06034876647756393,0.06611447938662263
p5_n21,0.4989876829552539,0.07027811547105323
p5_n20,1.6320927769448936,0.6845188429547644
p6_n22,0.8030589127931046,0.9878337809793014
p6_n21,0.42368440831667364,0.1369295527181955
p6_n20,0.6686968395850194,0.2347212735909041
p6_n19,1.1535021975738462,0.8028636660751696
