run_id,pressure_k_cm3,rho_g_cm3,nism_cm3,tism_k,rt_external_pc,rb_effective_pc,rwind_pc,xprobmin1_pc,xprobmax1_pc,domain_nx1,cells_per_decade,span_decades,q_base,dx_first_pc,cells_to_rwind,cells_to_rt
p4_n21,10000.0,1e-21,459.8951851197525,21.744085007970003,0.9838477348677321,5.956662014804722,0.09838477348677321,0.19676954697354643,23.826648059218886,176,80,2.0831050642133104,1.027627751923469,0.0054363002298785,-25.43380079432974,59.05545662412274
p4_n22,10000.0,1e-22,45.989518511975255,217.44085007970003,0.9838477348677321,8.090462974332782,0.09838477348677321,0.19676954697354643,32.36185189733113,192,80,2.216075480285657,1.026932881453715,0.005299570882339748,-26.081132922437437,60.55851527909922
p4_n23,10000.0,1e-23,4.598951851197525,2174.408500797,0.9838477348677321,8.090462974332782,0.09838477348677321,0.19676954697354643,32.36185189733113,192,80,2.216075480285657,1.026932881453715,0.005299570882339748,-26.081132922437437,60.55851527909922
p4_n24,10000.0,1e-24,0.4598951851197525,21744.085007970003,0.9838477348677321,8.090462974332782,0.09838477348677321,0.19676954697354643,32.36185189733113,192,80,2.216075480285657,1.026932881453715,0.005299570882339748,-26.081132922437437,60.55851527909922
p5_n20,100000.0,1e-20,4598.951851197526,21.74408500797,0.3111199712979492,3.755260260042067,0.031111997129794924,0.06222399425958985,15.021041040168267,192,80,2.3827421469523236,1.0289875386306375,0.0018037204373524281,-24.256824953304932,56.322603351843554
p5_n21,100000.0,1e-21,459.8951851197525,217.44085007970003,0.3111199712979492,3.755260260042067,0.031111997129794924,0.06222399425958985,15.021041040168267,192,80,2.3827421469523236,1.0289875386306375,0.0018037204373524281,-24.256824953304932,56.322603351843554
p5_n22,100000.0,1e-22,45.989518511975255,2174.408500797,0.3111199712979492,3.755260260042067,0.031111997129794924,0.06222399425958985,15.021041040168267,192,80,2.3827421469523236,1.0289875386306375,0.0018037204373524281,-24.256824953304932,56.322603351843554
p5_n23,100000.0,1e-23,4.598951851197525,21744.085007970003,0.3111199712979492,3.755260260042067,0.031111997129794924,0.06222399425958985,15.021041040168267,192,80,2.3827421469523236,1.0289875386306375,0.0018037204373524281,-24.256824953304932,56.322603351843554
p6_n19,1000000.0,1e-19,45989.51851197526,21.74408500797,0.09838477348677323,1.7430374090321081,0.009838477348677323,0.019676954697354646,6.9721496361284325,208,80,2.54940881361899,1.028624284264621,0.0005632387447191477,-24.560297573155726,57.02724495390418
p6_n20,1000000.0,1e-20,4598.951851197526,217.4408500797,0.09838477348677323,1.7430374090321081,0.009838477348677323,0.019676954697354646,6.9721496361284325,208,80,2.54940881361899,1.028624284264621,0.0005632387447191477,-24.560297573155726,57.02724495390418
p6_n21,1000000.0,1e-21,459.8951851197525,2174.408500797,0.09838477348677323,1.7430374090321081,0.009838477348677323,0.019676954697354646,6.9721496361284325,208,80,2.54940881361899,1.028624284264621,0.0005632387447191477,-24.560297573155726,57.02724495390418
p6_n22,1000000.0,1e-22,45.989518511975255,21744.085007970003,0.09838477348677323,1.7430374090321081,0.009838477348677323,0.019676954697354646,6.9721496361284325,208,80,2.54940881361899,1.028624284264621,0.0005632387447191477,-24.560297573155726,57.02724495390418
