Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,Include
2259.6,s,0.337287309,0.08142872,0.08142872,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,1
12042.0,s,0.054954087,0.01514337,0.01514337,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,1
12210.0,s,0.044874539,0.031691972,0.031691972,mJy,Spectral Flux,548000000000000.0,,,Hz,uvot-v,uvot-v_offset,,slop_uvot,1
27192.0,s,0.049203954,0.000898073,0.000898073,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
34398.0,s,0.03944573,0.002801973,0.002801973,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
29958.0,s,0.049659232,0.001796223,0.001796223,mJy,Spectral Flux,394000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
1526400.0,s,0.006546362,0.000630745,0.000630745,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
28848000.0,s,0.007943282,0.000765339,0.000765339,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
28926000.0,s,0.005597576,0.000722291,0.000722291,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
29022000.0,s,0.007046931,0.000909311,0.000909311,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
561600.0,s,0.005754399,0.000506325,0.000506325,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
1597200.0,s,0.005345644,0.000689783,0.000689783,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
2289000.0,s,0.00510505,0.00036263,0.00036263,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
4279200.0,s,0.006309573,0.001738692,0.001738692,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
6258000.0,s,0.003630781,0.000638516,0.000638516,mJy,Spectral Flux,481000000000000.0,,,Hz,r,r_offset,r_host,slop_other,1
560700.0,s,0.007943282,0.00056424,0.00056424,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
561000.0,s,0.008629785,0.000613005,0.000613005,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
561240.0,s,0.007870458,0.000559067,0.000559067,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
1597800.0,s,0.00691831,0.000608736,0.000608736,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
1597800.0,s,0.006982324,0.000555447,0.000555447,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
2289600.0,s,0.007046931,0.000378863,0.000378863,mJy,Spectral Flux,394000000000000.0,,,Hz,i,i_offset,i_host,slop_other,1
