# Stellar evolution data converted from CSV
# Age(years)  Mdot(Msun/yr)  vwind(km/s)  Twind(K)
 2.29000e+06 -8.34309e+00   1145.320    48254.6
 2.31000e+06 -8.33850e+00   1143.164    48216.6
 2.34000e+06 -8.33370e+00   1140.861    48174.3
 2.36000e+06 -8.32895e+00   1138.447    48126.7
 2.38000e+06 -8.32413e+00   1136.189    48086.7
 2.41000e+06 -8.31918e+00   1133.832    48044.0
 2.43000e+06 -8.31450e+00   1131.597    48002.6
 2.45000e+06 -8.30964e+00   1129.247    47958.7
 2.48000e+06 -8.30479e+00   1126.893    47914.1
 2.50000e+06 -8.29998e+00   1124.565    47869.4
 2.52000e+06 -8.29499e+00   1122.109    47822.0
 2.55000e+06 -8.29003e+00   1119.671    47774.3
 2.57000e+06 -8.28510e+00   1117.237    47726.2
 2.59000e+06 -8.28022e+00   1114.804    47677.9
 2.62000e+06 -8.27516e+00   1112.271    47626.8
 2.64000e+06 -8.27036e+00   1109.851    47577.5
 2.67000e+06 -8.26515e+00   1107.233    47523.4
 2.69000e+06 -8.26021e+00   1104.707    47470.9
 2.71000e+06 -8.25510e+00   1102.093    47415.7
 2.73000e+06 -8.25004e+00   1099.479    47360.2
 2.76000e+06 -8.24501e+00   1096.865    47304.0
 2.78000e+06 -8.23983e+00   1094.160    47245.2
 2.80000e+06 -8.23469e+00   1091.450    47185.9
 2.83000e+06 -8.22931e+00   1088.746    47132.4
 2.85000e+06 -8.22385e+00   1086.161    47078.7
 2.88000e+06 -8.21865e+00   1083.482    47020.9
 2.90000e+06 -8.21333e+00   1080.515    46951.0
 2.92000e+06 -8.20802e+00   1077.564    46881.3
 2.95000e+06 -8.20277e+00   1074.642    46812.5
 2.97000e+06 -8.19737e+00   1071.660    46741.8
 2.99000e+06 -8.19205e+00   1068.696    46671.3
 3.02000e+06 -8.18678e+00   1065.729    46600.1
 3.04000e+06 -8.18139e+00   1062.688    46526.0
 3.06000e+06 -8.17589e+00   1059.547    46449.1
 3.09000e+06 -8.17044e+00   1056.418    46372.0
 3.11000e+06 -8.16506e+00   1053.317    46294.7
